[2025-08-17T14:21:24.995Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-08-17T14:33:52.430Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-08-17T14:36:20.618Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-08-17T14:49:54.927Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-08-17T15:28:17.973Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-08-17T15:36:55.457Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-08-19T20:06:30.095Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-08-19T20:12:56.095Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-08-19T20:31:32.202Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-08-19T20:37:39.488Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-08-19T20:45:11.065Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-08-19T20:57:19.778Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-08-19T22:08:56.510Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
